0,0,0,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,-3.04157e-22,-1.72948e-22,0.79999,0,1,7.20265e-22,0,-6.65836e-22,-9.11905e-23,1.13875e-21,7.39068e-24,-8.02468e-23,-1.15074e-23,-1.32676e-21,2.83687e-24,6.85761e-23,-2.49551e-21,-2.07135e-21,-1.63726e-22,-8.20166e-22,1.08868e-23,2.93296e-22,1.61576e-21,5.56856e-22,3.91065e-22,9.52791e-24
0.002,-7.88159e-22,-3.39131e-24,0.799971,0,1,1.99459e-21,0,-2.32227e-21,4.0474e-22,1.83653e-21,2.55976e-23,-2.41136e-22,-6.90942e-22,-3.43251e-21,4.71694e-25,2.19573e-22,-3.21767e-21,-5.3286e-21,-3.78649e-22,-2.90472e-21,2.87318e-23,2.42645e-21,3.78439e-21,1.17865e-21,1.54609e-21,2.4295e-23
0.003,-1.71113e-21,3.29945e-22,0.799941,0,1,4.25835e-21,0,-5.08757e-21,1.81766e-21,1.51115e-21,5.71211e-23,-5.31358e-22,-2.17186e-21,-6.73532e-21,-1.30914e-23,5.07099e-22,-3.95488e-21,-1.0954e-20,-1.1022e-21,-5.13266e-21,6.296e-23,5.75742e-21,7.50007e-21,2.48028e-21,2.759e-21,5.33208e-23
0.004,-2.7776e-21,8.00624e-22,0.799902,0,1,6.81176e-21,0,-7.63199e-21,3.31785e-21,1.51645e-21,8.70132e-23,-8.25639e-22,-3.69688e-21,-1.12338e-20,-2.70302e-23,7.96664e-22,-4.75176e-21,-1.69146e-20,-2.18862e-21,-7.12947e-21,1.04148e-22,1.093e-20,1.16736e-20,4.09367e-21,4.54348e-21,8.73141e-23
0.005,-3.93306e-21,1.04771e-21,0.799853,0,1,9.48605e-21,0,-1.01725e-20,4.70883e-21,1.8179e-21,1.20611e-22,-1.14362e-21,-5.3403e-21,-1.60966e-20,-3.96455e-23,1.10341e-21,-6.35258e-21,-2.32681e-20,-3.59449e-21,-9.55303e-21,1.52283e-22,1.54238e-20,1.63119e-20,6.0864e-21,6.32561e-21,1.26146e-22
0.006,-5.17745e-21,1.41501e-21,0.799794,0,1,1.2385e-20,0,-1.23821e-20,6.31181e-21,2.15757e-21,1.55787e-22,-1.45839e-21,-7.2287e-21,-2.12381e-20,-5.48435e-23,1.41953e-21,-7.15354e-21,-2.95427e-20,-5.45582e-21,-1.17583e-20,2.0916e-22,2.10435e-20,2.09661e-20,8.37241e-21,8.24808e-21,1.69469e-22
0.007,-6.43051e-21,1.72897e-21,0.799725,0,1,1.5388e-20,0,-1.43351e-20,7.83709e-21,1.98441e-21,1.92394e-22,-1.77065e-21,-9.11912e-21,-2.59259e-20,-7.07511e-23,1.74304e-21,-9.22038e-21,-3.55781e-20,-7.58219e-21,-1.42084e-20,2.70611e-22,2.6612e-20,2.55038e-20,1.09833e-20,1.03298e-20,2.15993e-22
0.008,-7.82707e-21,2.10981e-21,0.799647,0,1,1.87311e-20,0,-1.6087e-20,9.56636e-21,2.36468e-21,2.33918e-22,-2.11943e-21,-1.12611e-20,-3.07568e-20,-8.88464e-23,2.10205e-21,-1.05761e-20,-4.20597e-20,-9.96043e-21,-1.73154e-20,3.40621e-22,3.39046e-20,3.04438e-20,1.37949e-20,1.2539e-20,2.68451e-22
0.009,-9.07166e-21,2.68349e-21,0.799559,0,1,2.21498e-20,0,-1.76391e-20,1.12463e-20,1.69029e-21,2.75807e-22,-2.4427e-21,-1.35494e-20,-3.66296e-20,-1.0955e-22,2.45764e-21,-9.52037e-21,-4.7594e-20,-1.20468e-20,-1.99887e-20,4.06519e-22,4.19002e-20,3.44016e-20,1.65502e-20,1.51462e-20,3.19372e-22
